County,target_year,Predicted_Crime_Rate_per_100k,Population_Projected,Total_Crimes_Projected
Hamilton,2027,372.7881541288705,4453.999999999998,10.593999999990046
Herkimer,2027,2078.299095740649,61738.00000000001,1556.4800000002433
Jefferson,2027,1510.9403385938433,114404.5000000007,1783.4459999999672
Kings,2027,4043.530113679572,2648276.000000011,73206.77800000738
Lewis,2027,560.7149280228829,26455.999999999996,200.29600000002574
Livingston,2027,763.8086713172381,63217.999999999985,595.7360000000226
Madison,2027,1191.7485688905783,64133.4999999986,722.7819999999483
Monroe,2027,2703.2509613812376,759040.5000000033,21226.80000000191
Montgomery,2027,872.2276714708614,49294.000000000015,563.3079999999682
Nassau,2027,1205.4193171042202,1420004.2500000186,20279.188000003574
New York,2027,4223.724848418743,1684297.250000015,86596.8260000106
Niagara,2027,1055.9718288424585,209138.74999999965,2283.1859999996377
Oneida,2027,2013.2607211794734,227801.74999999948,4493.558000000048
Onondaga,2027,2827.5427031660124,475977.75000000326,13844.088000001153
Ontario,2027,1216.8091337294093,115440.5000000014,1338.8600000000006
Orange,2027,1084.2684249328788,434034.50000001304,4518.041999999987
Orleans,2027,655.7107898780312,40623.999999999985,373.4479999999967
Oswego,2027,1210.7951023869211,118811.25000000012,1302.5959999999322
Otsego,2027,793.996970552537,59592.999999999985,545.9439999999777
Putnam,2027,446.0216871441222,98180.24999999994,528.6760000000377
Queens,2027,4197.810003871129,2351239.75000003,72938.39400000684
Rensselaer,2027,1629.9318717162782,162051.00000000081,2788.820000000036
Richmond,2027,1603.8217933738513,515174.0000000093,11406.834000001894
Rockland,2027,1245.38897205213,365342.2500000056,5660.892000000342
Saratoga,2027,1200.2598727187137,248645.2500000056,2843.958000000195
Schenectady,2027,2512.0240892753427,167642.25000000373,4809.114000000263
Schoharie,2027,560.6284071146777,31188.999999999996,125.56599999995524
Schuyler,2027,353.69019869942616,17845.0,85.68000000001643
Seneca,2027,1325.8554248259427,34294.99999999998,561.5640000000203
Steuben,2027,1220.2797466857478,89143.9999999979,1408.8420000001497
Suffolk,2027,1224.419770354417,1576817.7500000224,21314.198000000964
Sullivan,2027,1036.6325525016161,84290.75000000186,876.8699999999959
Tioga,2027,458.8551990079715,48430.999999999985,100.2839999999851
Tompkins,2027,1978.5100603407698,108125.75000000116,1993.628000000026
Ulster,2027,932.6693446143713,186431.50000000186,1547.4299999999203
Warren,2027,1227.719502376116,66113.75000000047,1039.6460000001025
Washington,2027,580.8199204916488,61304.0,473.4360000000306
Wayne,2027,1201.995309885622,91247.50000000023,989.0100000000675
Westchester,2027,1197.538565727728,1034728.7500000149,12977.520000000834
Wyoming,2027,535.4640302267788,40027.00000000001,189.67599999998492
Yates,2027,507.0027399936762,24981.000000000004,135.05399999998917
Albany,2028,2982.453621264545,333763.0000000065,11031.582800001372
Allegany,2028,573.3528074334472,46303.99999999998,379.1091999999953
Bronx,2028,4084.357742656051,1342391.999999974,67664.8896000078
Broome,2028,2452.0712526128164,200752.00000000303,5138.638400000069
Cattaraugus,2028,1482.7956569300986,74199.99999999953,1498.9616000001843
Cayuga,2028,566.8477567453567,72175.9999999986,252.12679999961983
Chautauqua,2028,1473.5787852799876,120625.99999999744,1674.224799999618
Chemung,2028,2676.1066902277016,78114.9999999986,2159.8128000001598
Chenango,2028,431.91050682361947,47526.99999999996,44.65879999988829
Clinton,2028,1604.5408336701903,75421.99999999814,1820.7472000000416
Columbia,2028,574.6133031148923,60015.99999999997,341.3471999998874
Cortland,2028,2109.367276968508,47617.999999999985,1260.4548000001669
Delaware,2028,554.0554685656393,44675.999999999956,218.8231999999698
Dutchess,2028,1201.3241936326554,306402.00000000466,3574.805599999978
Erie,2028,3179.0078225515226,982331.000000013,31037.476800002158
Essex,2028,569.5968583736444,37280.99999999997,234.15159999999014
Franklin,2028,1041.6872483664247,50388.99999999994,462.84559999997145
Fulton,2028,818.187630713894,53451.99999999996,405.1947999997792
Genesee,2028,1194.702872567279,57553.99999999998,716.2995999999985
Greene,2028,556.375354798478,47334.99999999999,141.96559999986493
Hamilton,2028,361.4902966972837,4453.999999999995,5.485199999984616
Herkimer,2028,2078.299095740649,61737.99999999997,1659.4340000002994
Jefferson,2028,1509.27767670737,114826.00000000105,1763.446799999947
Kings,2028,4121.3160063803725,2658491.0000000186,76699.8424000116
Lewis,2028,560.7149280228829,26455.99999999998,214.0768000000353
Livingston,2028,720.4507827455873,63217.999999999956,585.4288000000106
Madison,2028,1086.8315839575448,63153.99999999744,688.9555999999429
Monroe,2028,2829.1597611170223,761320.0000000047,21278.040000001783
Montgomery,2028,799.5049581121839,49293.99999999999,536.5663999999451
Nassau,2028,1205.4193171042202,1429193.0000000224,21567.420400004834
New York,2028,4223.724848418743,1692175.0000000205,92589.80080001615
Niagara,2028,971.319235040381,208994.99999999942,2016.2387999993516
Oneida,2028,2013.2607211794734,227619.99999999919,4514.116400000101
Onondaga,2028,2840.2497748198957,478033.00000000466,14404.240400001407
Ontario,2028,1220.2797466857478,116250.00000000186,1295.1379999999626
Orange,2028,1053.6813169262755,441457.0000000205,4395.013599999889
Orleans,2028,573.3528074334472,40623.99999999996,392.4284000000084
Oswego,2028,1208.4752161540828,118980.00000000003,1232.16679999989
Otsego,2028,794.4516650392326,59592.99999999995,550.9151999999794
Putnam,2028,518.3412168971564,98103.99999999983,557.6308000000754
Queens,2028,4185.370224847086,2362706.0000000484,78078.52520001121
Rensselaer,2028,1518.3968403421961,162485.00000000105,2735.755999999965
Richmond,2028,1629.057472073103,520828.0000000149,12232.377200002316
Rockland,2028,1245.38897205213,371075.0000000093,6086.993600000511
Saratoga,2028,1203.389589712023,251407.00000000838,2869.1864000002133
Schenectady,2028,2506.328469059242,169436.0000000042,5036.701200000418
Schoharie,2028,530.6198308365454,31188.999999999975,112.74279999994178
Schuyler,2028,353.69019869942616,17844.99999999999,96.79400000002533
Seneca,2028,1293.6625091203093,34294.999999999956,589.3612000000503
Steuben,2028,1220.2797466857478,88186.99999999651,1450.703600000168
Suffolk,2028,1224.419770354417,1590454.0000000373,21812.128400001093
Sullivan,2028,1031.8818144584689,85571.00000000233,869.4959999999937
Tioga,2028,441.1206855974072,48430.99999999996,48.787199999947916
Tompkins,2028,1978.5100603407698,108967.00000000186,1992.2724000000308
Ulster,2028,932.6693446143713,187583.0000000028,1505.093999999881
Warren,2028,1200.0308123308225,66389.00000000058,1060.1568000001353
Washington,2028,591.1763615114742,61303.999999999956,486.83880000003774
Wayne,2028,1143.3370680571038,91411.00000000035,928.4580000000133
Westchester,2028,1197.538565727728,1044156.0000000261,13340.716000001063
Wyoming,2028,511.0075608916047,40026.999999999985,173.83079999997426
Yates,2028,472.8699118468111,24980.99999999999,130.2031999999781
